Number of texts in corpus: 1120
Unique lemmas found: 19959

<в, PREP, 0,0437, 0,963>
<и, CONJ, 0,0320, 0,958>
<язык, NOUN, 0,0170, 0,864>
<с, PREP, 0,0151, 0,877>
<для, PREP, 0,0150, 0,886>
<на, PREP, 0,0148, 0,867>
<есть, VERB, 0,00957, 0,731>
<тип, NOUN, 0,00895, 0,424>
<не, PRCL, 0,00845, 0,659>
<как, CONJ, 0,00830, 0,758>
<который, ADJF, 0,00704, 0,730>
<это, NPRO, 0,00685, 0,676>
<функция, NOUN, 0,00682, 0,421>
<что, CONJ, 0,00635, 0,596>
<он, NPRO, 0,00602, 0,615>
<программирование, NOUN, 0,00598, 0,729>
<программа, NOUN, 0,00586, 0,556>
<код, NOUN, 0,00562, 0,562>
<к, PREP, 0,00560, 0,586>
<по, PREP, 0,00537, 0,613>
<или, CONJ, 0,00525, 0,593>
<данный, NPRO, 0,00524, 0,546>
<из, PREP, 0,00520, 0,623>
<при, PREP, 0,00450, 0,505>
<а, CONJ, 0,00441, 0,567>
<являюсь, VERB, 0,00438, 0,585>
<может, ADVB, 0,00425, 0,527>
<год, NOUN, 0,00410, 0,469>
<они, NPRO, 0,00410, 0,479>
<от, PREP, 0,00410, 0,581>
<система, NOUN, 0,00404, 0,449>
<такой, ADJF, 0,00403, 0,520>
<также, PRCL, 0,00392, 0,589>
<значение, NOUN, 0,00390, 0,344>
<то, NPRO, 0,00373, 0,488>
<тот, NPRO, 0,00371, 0,523>
<этот, ADJF, 0,00369, 0,513>
<один, ADJF, 0,00360, 0,487>
<переменный, ADJF, 0,00357, 0,314>
<например, CONJ, 0,00348, 0,484>
<другой, ADJF, 0,00346, 0,537>
<объект, NOUN, 0,00340, 0,296>
<класс, NOUN, 0,00339, 0,244>
<использование, NOUN, 0,00325, 0,496>
<быть, INFN, 0,00325, 0,455>
<версия, NOUN, 0,00315, 0,404>
<так, ADVB, 0,00297, 0,448>
<пример, NOUN, 0,00295, 0,511>
<могу, VERB, 0,00288, 0,441>
<но, CONJ, 0,00285, 0,426>
<реализация, NOUN, 0,00269, 0,379>
<можно, PRED, 0,00267, 0,420>
<строка, NOUN, 0,00266, 0,269>
<используюсь, VERB, 0,00266, 0,473>
<компилятор, NOUN, 0,00264, 0,347>
<возможность, NOUN, 0,00264, 0,413>
<если, CONJ, 0,00260, 0,346>
<метод, NOUN, 0,00259, 0,234>
<весь, ADJF, 0,00259, 0,434>
<оператор, NOUN, 0,00253, 0,242>
<число, NOUN, 0,00249, 0,313>
<время, NOUN, 0,00229, 0,413>
<файл, NOUN, 0,00226, 0,259>
<она, NPRO, 0,00222, 0,360>
<работа, NOUN, 0,00221, 0,406>
<позволяю, VERB, 0,00214, 0,406>
<разработка, NOUN, 0,00212, 0,344>
<выражение, NOUN, 0,00206, 0,240>
<более, ADVB, 0,00206, 0,414>
<же, PRCL, 0,00203, 0,389>
<только, PRCL, 0,00203, 0,375>
<операция, NOUN, 0,00200, 0,249>
<имею, VERB, 0,00197, 0,398>
<библиотека, NOUN, 0,00196, 0,279>
<имя, NOUN, 0,00191, 0,247>
<новый, ADJF, 0,00189, 0,308>
<случай, NOUN, 0,00187, 0,308>
<память, NOUN, 0,00184, 0,213>
<следующий, ADJF, 0,00181, 0,344>
<модуль, NOUN, 0,00181, 0,164>
<команда, NOUN, 0,00177, 0,200>
<элемент, NOUN, 0,00176, 0,218>
<синтаксис, NOUN, 0,00175, 0,313>
<вызов, NOUN, 0,00173, 0,210>
<помощь, NOUN, 0,00171, 0,349>
<си, NOUN, 0,00169, 0,224>
<символ, NOUN, 0,00167, 0,190>
<некоторый, NPRO, 0,00163, 0,354>
<выполнение, NOUN, 0,00163, 0,288>
<себя, NPRO, 0,00159, 0,357>
<структура, NOUN, 0,00159, 0,237>
<свой, ADJF, 0,00158, 0,338>
<создание, NOUN, 0,00158, 0,336>
<массив, NOUN, 0,00152, 0,161>
<основной, ADJF, 0,00151, 0,360>
<несколько, NUMR, 0,00151, 0,344>
<список, NOUN, 0,00150, 0,206>
<поддержка, NOUN, 0,00149, 0,279>
<слово, NOUN, 0,00148, 0,249>
<два, NUMR, 0,00147, 0,310>
<результат, NOUN, 0,00146, 0,272>
<вид, NOUN, 0,00146, 0,327>
<о, PREP, 0,00142, 0,294>
<каждый, ADJF, 0,00141, 0,286>
<стандарт, NOUN, 0,00141, 0,180>
<ошибка, NOUN, 0,00138, 0,203>
<за, PREP, 0,00136, 0,295>
<приложение, NOUN, 0,00135, 0,235>
<параметр, NOUN, 0,00133, 0,179>
<часть, NOUN, 0,00132, 0,282>
<проект, NOUN, 0,00131, 0,238>
<исходный, ADJF, 0,00130, 0,307>
<до, PREP, 0,00129, 0,278>
<цикл, NOUN, 0,00129, 0,131>
<запись, NOUN, 0,00129, 0,172>
<среда, NOUN, 0,00129, 0,239>
<использовать, VERB, 0,00128, 0,287>
<образ, NOUN, 0,00128, 0,272>
<чтобы, CONJ, 0,00126, 0,288>
<интерфейс, NOUN, 0,00125, 0,231>
<качество, NOUN, 0,00125, 0,276>
<определение, NOUN, 0,00125, 0,225>
<существую, VERB, 0,00124, 0,285>
<правило, NOUN, 0,00123, 0,204>
<однако, CONJ, 0,00122, 0,284>
<аргумент, NOUN, 0,00122, 0,159>
<после, PREP, 0,00120, 0,258>
<указатель, NOUN, 0,00119, 0,126>
<многий, NPRO, 0,00118, 0,288>
<управление, NOUN, 0,00118, 0,196>
<набор, NOUN, 0,00117, 0,267>
<должен, ADJS, 0,00116, 0,246>
<вычисление, NOUN, 0,00116, 0,191>
<различный, ADJF, 0,00115, 0,290>
<программист, NOUN, 0,00115, 0,239>
<уровень, NOUN, 0,00113, 0,210>
<блок, NOUN, 0,00113, 0,122>
<программный, ADJF, 0,00113, 0,264>
<конструкция, NOUN, 0,00113, 0,204>
<под, PREP, 0,00112, 0,289>
<описание, NOUN, 0,00110, 0,218>
<первый, NUMR, 0,00109, 0,245>
<без, PREP, 0,00109, 0,263>
<процесс, NOUN, 0,00109, 0,204>
<множество, NOUN, 0,00108, 0,213>
<средство, NOUN, 0,00108, 0,208>
<любой, NPRO, 0,00108, 0,229>
<расширение, NOUN, 0,00107, 0,211>
<стандартный, ADJF, 0,00107, 0,213>
<обработка, NOUN, 0,00106, 0,207>
<когда, CONJ, 0,00105, 0,235>
<ссылка, NOUN, 0,00103, 0,137>
<между, PREP, 0,00101, 0,248>
<пользователь, NOUN, 0,00101, 0,226>
<область, NOUN, 0,00100, 0,184>
<первый, ADJF, 0,000998, 0,267>
<компиляция, NOUN, 0,000978, 0,194>
<поддерживаю, VERB, 0,000968, 0,248>
<интерпретатор, NOUN, 0,000968, 0,156>
<задача, NOUN, 0,000961, 0,201>
